name,source,url,country,type,scraped_date,has_website
Supporters Club,Scottish FA,https://www.scottishfa.co.uk/scotland/supporters-tickets/scotland-supporters-club-membership/,Scotland,affiliated,2025-08-03,True
Ayr United F.C. U13s,Scottish FA,,Scotland,league_team,2025-08-03,False
Celtic F.C. Under 13s,Scottish FA,,Scotland,league_team,2025-08-03,False
Motherwell F.C. U13,Scottish FA,,Scotland,league_team,2025-08-03,False
Partick Thistle F.C. under 13s,Scottish FA,,Scotland,league_team,2025-08-03,False
Rangers FC U13,Scottish FA,,Scotland,league_team,2025-08-03,False
