Rangers,60,2013-pasc-rangers-c70d0597,Scotland,Football,
22nd Old Boys,29,22nd-old-boys-football-club,Northern Ireland,Football,
Abbeyview fc,10,antrim-eagles,"""Scotland""",Football,
Abbey Villa Football Club,68,abbey-villa-football-club,"""Northern Ireland""",Football,
Abbey Villa SC,10,abbey-villa-soccer-club,"""Northern Ireland""",Soccer,
Abbey Youth Football Club,74,abbey-youth-football-club-b661895e,"""Northern Ireland""",Football,
Aberdeen Football Club,38,aberdeen-ladies-football-club,"""Scotland""","""Football""",
Aberdeen Football Club,38,aberdeen-ladies-football-club,"""Scotland""","""Football""",
Aberdeen West End,40,aberdeen-west-end,"""Scotland""","""Football""",
